long,lat,count
-73.9948,40.7501,2033
-73.9949,40.7501,1882
-73.9949,40.7500,1881
-74.0027,40.7606,1792
-73.9947,40.7503,1758
-73.9912,40.7502,1720
-73.8615,40.7682,1707
-73.9946,40.7504,1662
-73.9913,40.7501,1650
-73.8616,40.7683,1587
-74.0027,40.7605,1394
-73.9913,40.7502,1366
-73.9912,40.7501,1343
-74.0074,40.7410,1329
-73.9913,40.7500,1328
-73.9930,40.7370,1311
-73.9375,40.7580,1310
-73.8618,40.7684,1304
-74.0075,40.7409,1304
-73.9950,40.7499,1298
-73.9912,40.7503,1288
-73.8614,40.7681,1274
-73.8656,40.7709,1268
-74.0042,40.7424,1252
-73.8617,40.7683,1229
-73.9910,40.7504,1219
-73.9910,40.7505,1208
-73.8710,40.7741,1194
-73.9911,40.7503,1181
-73.8709,40.7741,1176
-74.0043,40.7424,1170
-73.8708,40.7740,1117
-73.9914,40.7500,1107
-73.9948,40.7502,1107
-74.0043,40.7423,1094
-73.9490,40.7449,1080
-73.8655,40.7708,1072
-73.9650,40.7594,1068
-74.0076,40.7408,1050
-73.9911,40.7504,1042
-73.9909,40.7506,1028
-73.9911,40.7502,1024
-74.0023,40.7605,1012
-73.9951,40.7498,1006
-73.9910,40.7503,1002
-73.9909,40.7505,999
-73.9947,40.7504,991
-73.8613,40.7680,986
-73.8616,40.7682,984
-73.9914,40.7501,978
-73.9950,40.7500,971
-73.8707,40.7739,966
-73.9375,40.7581,955
-73.9907,40.7508,944
-74.0026,40.7606,943
-73.8706,40.7738,941
-74.0056,40.7401,930
-74.0028,40.7605,928
-73.9908,40.7508,922
-73.9914,40.7499,921
-73.9906,40.7509,916
-73.9946,40.7503,916
-73.9913,40.7503,904
-73.9908,40.7507,886
-73.9915,40.7499,884
-73.9922,40.7492,877
-73.8706,40.7739,867
-73.9819,40.7684,867
-73.9953,40.7495,855
-73.9909,40.7360,853
-73.9906,40.7510,848
-74.0075,40.7408,845
-73.8704,40.7737,840
-73.9912,40.7500,835
-73.8711,40.7742,833
-73.9946,40.7505,833
-73.9913,40.7499,830
-73.9907,40.7509,827
-73.9912,40.7504,827
-73.8705,40.7738,826
-73.8704,40.7736,823
-73.8709,40.7740,822
-73.8727,40.7743,821
-73.9909,40.7507,812
-73.9805,40.6831,806
-73.9889,40.7229,806
-73.8712,40.7742,803
-74.0042,40.7425,801
-74.0073,40.7411,801
-73.8617,40.7684,796
-73.9916,40.7490,788
-74.0028,40.7604,786
-73.8705,40.7737,781
-73.9909,40.7504,781
-73.9908,40.7506,770
-73.9906,40.7508,766
-73.9921,40.7492,761
-73.9910,40.7502,757
-73.9911,40.7501,756
-73.9818,40.7684,750
-73.9911,40.7505,750
-73.9952,40.7497,749
-73.9907,40.7507,745
-73.9907,40.7706,743
-73.8728,40.7744,740
-74.0055,40.7401,734
-74.0049,40.7408,733
-73.991,40.7502,732
-73.8707,40.7740,730
-73.991,40.7501,729
-73.9915,40.7500,727
-73.8612,40.7679,725
-73.8726,40.7743,724
-73.9910,40.7506,721
-73.9916,40.7489,720
-73.8711,40.7741,719
-73.8654,40.7708,718
-73.9922,40.7491,717
-73.9915,40.7498,711
-73.8725,40.7744,710
-73.8657,40.7710,708
-73.9905,40.7510,708
-73.8649,40.7704,707
-74.0046,40.7521,705
-73.8653,40.7707,702
-73.9823,40.7683,699
-73.9908,40.7509,697
-73.8504,40.837,696
-73.8725,40.7743,693
-73.8724,40.7744,690
-73.8729,40.7744,687
-73.9921,40.7491,685
-73.9947,40.7502,682
-74.0046,40.7420,682
-73.9912,40.750,673
-73.9945,40.7505,673
-73.8619,40.7685,667
-73.9918,40.7490,662
-73.9772,40.7150,659
-73.9914,40.7502,657
-73.872,40.7744,650
-73.8726,40.7744,650
-73.9907,40.7510,650
-73.9636,40.7742,648
-73.8710,40.7742,640
-73.9905,40.7511,640
-73.9917,40.7490,638
-73.9903,40.7514,636
-74.0045,40.7421,636
-73.9545,40.7780,635
-73.9735,40.7647,635
-74.0003,40.7585,635
-73.9923,40.7492,634
-74.0041,40.7425,634
-73.9805,40.7304,633
