"long","lat","count","type"
-73.942,40.876,1.0,p
-74.05,40.777,1.0,p
-73.942,40.875,1.0,p
-74.05,40.779,1.0,p
-73.965,40.729,1.0,p
-74.066,40.798,3.0,p
-73.965,40.727,1.0,p
-73.965,40.721,1.0,p
-73.737,40.717,1.0,p
-73.965,40.725,4.0,p
-74.066,40.794,1.0,p
-73.965,40.726,1.0,p
-73.891,40.773,2.0,p
-73.965,40.724,1.0,p
-74.05,40.766,1.0,p
-71.691,31.464,1.0,p
-73.891,40.764,2.0,p
-73.965,40.719,1.0,p
-73.663,40.779,1.0,p
-73.891,40.763,1.0,p
-73.891,40.766,130.0,p
-73.965,40.716,36.0,p
-73.891,40.765,19.0,p
-73.965,40.717,20.0,p
-73.891,40.768,180.0,p
-73.891,40.767,2.0,p
-73.965,40.711,564.0,p
-73.965,40.714,425.0,p
-73.965,40.715,20.0,p
-73.737,40.723,1.0,p
-73.965,40.712,583.0,p
-73.891,40.762,11.0,p
-73.965,40.713,272.0,p
-73.891,40.761,5.0,p
-73.997,40.049,1.0,p
-73.822,40.7,1.0,p
-73.942,40.851,8.0,p
-74.05,40.747,1.0,p
-74.05,40.748,1.0,p
-73.965,40.749,13.0,p
-73.714,40.856,1.0,p
-73.965,40.743,8.0,p
-73.965,40.744,2.0,p
-73.965,40.741,17.0,p
-73.965,40.742,1.0,p
-73.965,40.747,11.0,p
-73.821,40.74,3.0,p
-73.965,40.748,11.0,p
-73.965,40.745,9.0,p
-73.965,40.746,9.0,p
-73.821,40.71,40.0,p
-73.821,40.73,1.0,p
-73.942,40.849,18.0,p
-73.942,40.847,16.0,p
-73.816,40.696,2.0,p
-73.942,40.848,26.0,p
-73.942,40.845,2.0,p
-73.942,40.846,13.0,p
-73.942,40.843,18.0,p
-73.816,40.692,2.0,p
-73.942,40.844,13.0,p
-74.05,40.742,2.0,p
-73.942,40.841,1017.0,p
-73.942,40.842,498.0,p
-74.05,40.744,1.0,p
-73.965,40.738,3.0,p
-73.965,40.739,3.0,p
-74.05,40.739,1.0,p
-73.965,40.732,3.0,p
-73.821,40.67,1.0,p
-73.821,40.68,1.0,p
-73.133,40.783,1.0,p
-73.965,40.731,3.0,p
-73.965,40.736,3.0,p
-73.965,40.737,1.0,p
-73.965,40.734,2.0,p
-73.965,40.735,2.0,p
-73.988,40.606,2.0,p
-73.965,40.761,3931.0,p
-73.942,40.838,129.0,p
-73.965,40.762,15295.0,p
-73.942,40.839,38.0,p
-73.988,40.602,1.0,p
-73.942,40.836,78.0,p
-73.942,40.837,561.0,p
-73.942,40.835,3.0,p
-73.942,40.832,43.0,p
-73.942,40.833,6.0,p
-74.252,40.478,1.0,p
-73.988,40.609,2.0,p
-73.942,40.831,38.0,p
-73.988,40.607,1.0,p
-73.965,40.765,7104.0,p
-73.965,40.766,4211.0,p
-73.965,40.763,7382.0,p
-73.965,40.764,1775.0,p
-73.965,40.769,5849.0,p
-73.965,40.767,1090.0,p
-73.965,40.768,5844.0,p
-73.988,40.616,1.0,p
-73.863,40.918,1.0,p
-74.038,40.938,1.0,p
-73.942,40.829,9.0,p
-73.988,40.614,1.0,p
-73.942,40.827,41.0,p
-73.965,40.751,51.0,p
-73.942,40.828,24.0,p
-73.942,40.825,4.0,p
-73.942,40.826,2.0,p
-73.942,40.823,82.0,p
-73.942,40.824,7.0,p
-73.942,40.821,67.0,p
-73.942,40.822,203.0,p
-70.353,42.618,1.0,p
-73.965,40.754,7947.0,p
-73.965,40.755,8816.0,p
0.0,-3114.288,1.0,p
-73.821,40.633,1.0,p
-73.765,40.583,1.0,p
-73.965,40.752,837.0,p
-73.965,40.753,506.0,p
-73.965,40.758,9606.0,p
-73.965,40.759,13495.0,p
-73.965,40.756,1166.0,p
-73.821,40.634,1.0,p
-73.965,40.757,1788.0,p
-74.089,40.652,1.0,p
-74.071,40.704,1.0,p
-73.942,40.818,3.0,p
-73.942,40.819,3.0,p
-73.942,40.816,103.0,p
-73.965,40.783,59.0,p
-73.942,40.817,134.0,p
-73.965,40.784,2.0,p
-73.942,40.814,19.0,p
-73.965,40.781,5.0,p
-73.965,40.782,2.0,p
-73.942,40.815,8.0,p
-73.942,40.812,212.0,p
-74.05,40.794,1.0,p
-73.942,40.813,7.0,p
-74.05,40.795,2.0,p
-73.863,40.921,1.0,p
-73.942,40.811,211.0,p
-74.071,40.708,1.0,p
-73.965,40.787,3.0,p
-73.965,40.788,12.0,p
-73.965,40.785,7.0,p
-73.965,40.786,4.0,p
-73.965,40.789,729.0,p
-73.942,40.809,7.0,p
-73.942,40.807,16.0,p
-73.942,40.808,17.0,p
-73.965,40.772,3205.0,p
-73.942,40.805,150.0,p
-73.942,40.806,970.0,p
-73.965,40.773,851.0,p
-73.942,40.803,25.0,p
-73.965,40.771,8609.0,p
-73.942,40.804,1.0,p
-73.942,40.801,107.0,p
-74.117,40.822,1.0,p
-73.942,40.802,25.0,p
-74.047,40.341,1.0,p
-73.821,40.619,1.0,p
-73.965,40.776,13.0,p
-73.965,40.777,81.0,p
-73.965,40.774,4933.0,p
-73.965,40.775,2246.0,p
-73.965,40.778,366.0,p
-73.965,40.779,9.0,p
-73.927,40.73,1.0,p
-73.927,40.74,8.0,p
-73.927,40.77,277.0,p
-73.927,40.78,17.0,p
-73.927,40.75,1.0,p
-73.691,40.585,1.0,p
-73.927,40.76,23.0,p
-73.821,40.665,3.0,p
-73.821,40.666,2.0,p
-73.821,40.664,1.0,p
-0.056,40.743,1.0,p
-74.043,40.853,1.0,p
-73.927,40.69,2.0,p
-73.927,40.66,1.0,p
-73.927,40.67,2.0,p
-73.821,40.676,1.0,p
-74.043,40.848,1.0,p
-74.043,40.836,1.0,p
-73.951,40.7,2.0,p
-73.951,40.8,96.0,p
-74.001,40.599,2.0,p
-74.001,40.596,4.0,p
-0.056,40.772,1.0,p
-74.294,40.713,1.0,p
-74.043,40.826,1.0,p
-74.043,40.825,1.0,p
-74.043,40.821,1.0,p
-74.05,40.731,2.0,p
-73.816,40.682,1.0,p
-76.122,37.555,1.0,p
-74.05,40.728,1.0,p
-74.145,40.723,4.0,p
-74.145,40.722,12.0,p
-74.05,40.721,2.0,p
-74.05,40.723,1.0,p
-74.043,40.808,1.0,p
-73.816,40.665,1.0,p
-73.65,40.703,1.0,p
-73.844,40.524,1.0,p
-73.821,40.682,1.0,p
