"long","lat","count","type"
-74.05,40.772,1.0,p
-74.05,40.779,4.0,p
-74.066,40.798,1.0,p
-73.965,40.721,2.0,p
-73.965,40.722,1.0,p
-73.821,40.58,1.0,p
-74.066,40.793,4.0,p
-73.965,40.725,1.0,p
-73.965,40.726,4.0,p
-73.965,40.724,14.0,p
-74.05,40.768,1.0,p
-73.891,40.764,1.0,p
-73.965,40.718,4.0,p
-74.066,40.786,2.0,p
-73.891,40.763,3.0,p
-73.891,40.766,70.0,p
-73.965,40.716,100.0,p
-73.891,40.765,24.0,p
-73.965,40.717,36.0,p
-73.891,40.768,186.0,p
-73.891,40.767,1.0,p
-73.891,40.769,1.0,p
-73.965,40.711,496.0,p
-73.965,40.714,679.0,p
-73.965,40.715,18.0,p
-73.965,40.712,812.0,p
-73.891,40.762,10.0,p
-73.965,40.713,344.0,p
-73.891,40.761,2.0,p
-74.05,40.751,1.0,p
-73.942,40.851,1.0,p
-73.537,40.581,4.0,p
-73.965,40.749,31.0,p
-74.089,40.609,3.0,p
-73.133,40.776,1.0,p
-73.965,40.743,3.0,p
-73.965,40.744,1.0,p
-73.593,40.231,1.0,p
-73.965,40.741,3.0,p
-73.965,40.742,2.0,p
-73.965,40.747,6.0,p
-73.839,40.581,1.0,p
-73.821,40.74,1.0,p
-73.965,40.748,5.0,p
-73.965,40.745,5.0,p
-73.965,40.746,3.0,p
-73.891,40.794,1.0,p
-73.821,40.71,27.0,p
-73.942,40.849,4.0,p
-73.816,40.695,1.0,p
-73.942,40.847,10.0,p
-73.816,40.696,1.0,p
-73.942,40.848,16.0,p
-73.942,40.845,4.0,p
-73.942,40.846,1.0,p
-73.942,40.843,14.0,p
-73.816,40.692,1.0,p
-73.942,40.844,10.0,p
-73.942,40.841,603.0,p
-74.05,40.743,1.0,p
-73.942,40.842,294.0,p
-0.414,40.778,1.0,p
-73.891,40.786,1.0,p
-73.965,40.738,1.0,p
-73.965,40.739,3.0,p
-73.965,40.732,1.0,p
-73.821,40.68,1.0,p
-73.965,40.736,3.0,p
-73.965,40.737,2.0,p
-73.965,40.734,1.0,p
-73.988,40.605,1.0,p
-73.988,40.603,1.0,p
-73.965,40.761,3254.0,p
-73.942,40.838,103.0,p
