"long","lat","count","type"
-74.05,40.779,1.0,p
-70.904,37.346,1.0,p
-73.965,40.727,1.0,p
-73.965,40.728,1.0,p
-74.047,40.356,1.0,p
-73.965,40.721,10.0,p
-73.737,40.717,2.0,p
-73.965,40.725,1.0,p
-74.066,40.793,1.0,p
-73.965,40.726,1.0,p
-73.737,40.712,1.0,p
-73.891,40.773,2.0,p
-73.965,40.723,1.0,p
-73.965,40.724,1.0,p
-74.05,40.761,1.0,p
-74.05,40.764,1.0,p
-74.05,40.766,1.0,p
-74.066,40.786,1.0,p
-73.891,40.764,3.0,p
-73.891,40.763,3.0,p
-73.965,40.719,1.0,p
-73.537,40.591,1.0,p
-73.965,40.716,82.0,p
-73.891,40.766,86.0,p
-73.965,40.717,48.0,p
-73.891,40.765,19.0,p
-73.891,40.768,220.0,p
-73.891,40.767,3.0,p
-73.361,40.791,1.0,p
-73.965,40.711,456.0,p
-73.965,40.714,454.0,p
-73.965,40.715,24.0,p
-73.965,40.712,633.0,p
-73.891,40.762,3.0,p
-73.965,40.713,254.0,p
-73.891,40.761,6.0,p
-74.117,40.877,3.0,p
-73.537,40.589,1.0,p
-73.942,40.852,1.0,p
-74.05,40.755,1.0,p
-73.942,40.853,3.0,p
-73.942,40.851,3.0,p
-73.965,40.749,5.0,p
-73.537,40.585,5.0,p
-74.089,40.608,1.0,p
-74.089,40.609,2.0,p
-73.965,40.743,5.0,p
-73.965,40.744,2.0,p
-73.965,40.741,7.0,p
-73.965,40.742,2.0,p
-73.965,40.747,8.0,p
-73.821,40.74,1.0,p
-73.965,40.748,10.0,p
-73.965,40.745,7.0,p
-73.965,40.746,13.0,p
-73.891,40.794,3.0,p
-73.821,40.71,27.0,p
-73.821,40.73,1.0,p
-73.942,40.849,6.0,p
-73.942,40.847,6.0,p
-73.816,40.696,3.0,p
-73.942,40.848,20.0,p
-73.942,40.845,14.0,p
-73.816,40.691,1.0,p
-73.942,40.846,7.0,p
-73.942,40.843,23.0,p
-73.816,40.692,1.0,p
-74.05,40.741,3.0,p
-73.942,40.844,21.0,p
-73.942,40.841,727.0,p
-74.05,40.743,1.0,p
-73.942,40.842,332.0,p
-74.05,40.736,1.0,p
-73.965,40.738,3.0,p
-73.965,40.739,1.0,p
-74.05,40.739,1.0,p
-73.737,40.748,1.0,p
-73.821,40.68,1.0,p
-73.965,40.733,1.0,p
-73.663,40.798,1.0,p
-73.965,40.737,1.0,p
-73.965,40.734,4.0,p
-74.452,40.658,1.0,p
-73.988,40.606,2.0,p
-73.965,40.761,5889.0,p
-73.942,40.838,135.0,p
-73.863,40.902,1.0,p
-73.965,40.762,16038.0,p
-73.942,40.839,19.0,p
-73.988,40.602,1.0,p
-73.942,40.836,71.0,p
-73.942,40.837,546.0,p
-73.942,40.834,3.0,p
-73.942,40.835,2.0,p
-73.942,40.832,51.0,p
-73.942,40.833,11.0,p
-74.085,40.73,1.0,p
-73.942,40.831,42.0,p
-73.988,40.607,3.0,p
-73.965,40.765,7404.0,p
-73.965,40.766,4314.0,p
-73.965,40.763,6263.0,p
-73.965,40.764,1601.0,p
-73.965,40.769,5437.0,p
-73.821,40.625,1.0,p
-73.965,40.767,1031.0,p
-73.965,40.768,5210.0,p
-73.942,40.829,9.0,p
