"long","lat","count","type"
-73.082,40.683,1.0,p
-74.05,40.772,1.0,p
-74.117,40.895,1.0,p
-74.05,40.778,1.0,p
-74.05,40.779,2.0,p
-73.965,40.729,3.0,p
-74.066,40.798,2.0,p
-73.965,40.727,1.0,p
-73.891,40.776,2.0,p
-73.965,40.728,2.0,p
-73.891,40.778,1.0,p
-73.965,40.722,1.0,p
-74.066,40.793,1.0,p
-73.965,40.726,1.0,p
-73.965,40.723,1.0,p
-73.891,40.772,1.0,p
-73.965,40.724,1.0,p
-73.207,40.753,1.0,p
-74.05,40.763,1.0,p
-73.942,40.866,1.0,p
-73.714,40.863,1.0,p
-73.891,40.764,3.0,p
-73.816,41.035,1.0,p
-73.965,40.718,1.0,p
-73.891,40.763,1.0,p
-73.965,40.719,3.0,p
-0.033,40.816,1.0,p
-73.891,40.766,75.0,p
-73.965,40.716,12.0,p
-74.066,40.788,1.0,p
-73.965,40.717,17.0,p
-73.891,40.765,26.0,p
-73.891,40.768,224.0,p
-73.891,40.767,1.0,p
-73.891,40.769,2.0,p
-73.965,40.711,341.0,p
-2.666,40.602,1.0,p
-73.965,40.714,289.0,p
-73.996,9.413,1.0,p
-73.965,40.715,19.0,p
-73.737,40.723,1.0,p
-73.965,40.712,478.0,p
-73.891,40.762,10.0,p
-73.965,40.713,193.0,p
-73.891,40.761,4.0,p
-73.561,40.925,1.0,p
-73.821,40.82,1.0,p
-74.05,40.751,1.0,p
-73.542,40.76,1.0,p
-73.942,40.854,1.0,p
-73.942,40.852,1.0,p
-73.942,40.853,1.0,p
-74.05,40.755,1.0,p
-73.942,40.851,3.0,p
-74.05,40.749,1.0,p
-73.965,40.749,4.0,p
-73.8,41.084,1.0,p
-74.089,40.609,1.0,p
-73.8,41.085,1.0,p
-73.965,40.743,2.0,p
-73.965,40.744,7.0,p
-73.965,40.741,3.0,p
-73.965,40.742,3.0,p
-73.965,40.747,13.0,p
-73.737,40.733,1.0,p
-73.965,40.748,11.0,p
-73.821,40.76,1.0,p
-73.965,40.745,8.0,p
-73.965,40.746,16.0,p
-73.821,40.71,29.0,p
-73.821,40.73,1.0,p
-73.942,40.849,24.0,p
-73.942,40.847,5.0,p
-73.816,40.696,1.0,p
-73.942,40.848,20.0,p
-73.942,40.845,10.0,p
-73.942,40.846,3.0,p
-74.05,40.741,1.0,p
-73.942,40.843,10.0,p
-73.816,40.692,3.0,p
-73.942,40.844,15.0,p
-74.05,40.742,1.0,p
-73.942,40.841,847.0,p
-74.05,40.743,6.0,p
-73.942,40.842,502.0,p
-74.05,40.744,1.0,p
-73.891,40.786,1.0,p
-74.05,40.737,1.0,p
-73.965,40.738,1.0,p
-74.05,40.739,3.0,p
-73.997,40.033,1.0,p
-73.133,40.786,1.0,p
-73.821,40.67,1.0,p
-73.965,40.732,1.0,p
-73.965,40.733,1.0,p
-73.965,40.731,3.0,p
-73.965,40.734,15.0,p
-73.891,40.784,1.0,p
-73.082,40.648,1.0,p
-73.965,40.735,2.0,p
-73.988,40.606,1.0,p
-73.965,40.761,3780.0,p
-73.942,40.838,80.0,p
-73.988,40.601,1.0,p
-73.965,40.762,13181.0,p
-73.942,40.839,21.0,p
-73.942,40.836,50.0,p
-73.942,40.837,535.0,p
-73.942,40.834,4.0,p
-73.942,40.835,1.0,p
-74.085,40.71,1.0,p
0.0,7.166,1.0,p
-73.942,40.832,39.0,p
-73.942,40.833,6.0,p
-73.942,40.831,21.0,p
-73.965,40.765,6714.0,p
-74.294,40.767,1.0,p
-73.965,40.766,3610.0,p
-73.965,40.763,6063.0,p
-73.965,40.764,1599.0,p
-73.965,40.769,5313.0,p
-73.114,40.319,1.0,p
-73.965,40.767,856.0,p
-73.965,40.768,5428.0,p
-73.988,40.616,1.0,p
-73.988,40.617,1.0,p
-73.942,40.829,11.0,p
-73.942,40.827,42.0,p
-73.965,40.751,29.0,p
-73.942,40.828,19.0,p
-73.942,40.825,1.0,p
-73.942,40.826,2.0,p
-73.942,40.823,70.0,p
-73.942,40.824,2.0,p
-73.942,40.821,45.0,p
-74.043,40.893,1.0,p
-73.942,40.822,211.0,p
-74.043,40.894,1.0,p
-73.988,40.618,1.0,p
-73.965,40.754,7545.0,p
-73.965,40.755,7986.0,p
-73.965,40.752,788.0,p
-73.965,40.753,482.0,p
-73.965,40.758,9074.0,p
-73.965,40.759,13821.0,p
-73.965,40.756,843.0,p
-73.965,40.757,1749.0,p
-73.958,48.0,1.0,p
-73.942,40.818,10.0,p
-73.942,40.819,5.0,p
-74.071,40.705,8.0,p
-73.965,40.783,49.0,p
-73.942,40.816,104.0,p
-73.965,40.784,5.0,p
-73.942,40.817,135.0,p
-73.942,40.814,22.0,p
-73.965,40.781,1.0,p
-73.942,40.815,3.0,p
-74.05,40.793,1.0,p
-73.965,40.782,2.0,p
-73.942,40.812,213.0,p
-73.942,40.813,6.0,p
-73.942,40.811,205.0,p
-74.05,40.797,1.0,p
-73.965,40.787,3.0,p
-73.965,40.788,5.0,p
-73.598,40.72,1.0,p
-73.965,40.785,1.0,p
-73.965,40.786,7.0,p
-73.965,40.789,673.0,p
-73.663,40.741,1.0,p
-73.714,41.215,1.0,p
-73.942,40.809,9.0,p
-74.043,40.877,1.0,p
-73.942,40.807,14.0,p
-73.942,40.808,16.0,p
-73.965,40.772,2668.0,p
-73.942,40.805,125.0,p
-73.942,40.806,1016.0,p
-73.965,40.773,761.0,p
-73.942,40.803,33.0,p
-73.965,40.771,7661.0,p
-73.942,40.804,2.0,p
-73.942,40.801,74.0,p
-73.942,40.802,35.0,p
-73.965,40.776,19.0,p
-73.965,40.777,87.0,p
-73.965,40.774,4138.0,p
-73.965,40.775,1664.0,p
-74.368,40.705,1.0,p
-73.965,40.778,442.0,p
-73.965,40.779,11.0,p
-73.927,40.73,1.0,p
-73.927,40.74,4.0,p
-73.927,40.71,1.0,p
-73.927,40.77,252.0,p
-73.927,40.78,10.0,p
-73.927,40.76,27.0,p
-74.303,40.548,1.0,p
-73.821,40.665,8.0,p
-73.821,40.663,2.0,p
-73.821,40.668,1.0,p
-73.816,40.634,2.0,p
-73.821,40.672,3.0,p
-73.821,40.673,2.0,p
-73.821,40.671,1.0,p
-73.686,40.674,1.0,p
-73.927,40.69,1.0,p
-73.356,41.199,1.0,p
-74.219,40.695,1.0,p
-74.219,40.699,1.0,p
-73.156,40.696,1.0,p
-74.247,40.565,1.0,p
-73.816,40.611,1.0,p
-73.951,40.8,83.0,p
-74.001,40.599,1.0,p
-74.001,40.596,1.0,p
-74.145,40.712,1.0,p
-73.686,40.646,1.0,p
-74.043,40.824,1.0,p
-73.435,40.791,1.0,p
-73.816,40.683,1.0,p
-73.816,40.684,2.0,p
-81.0,40.723,1.0,p
-73.816,40.681,1.0,p
-74.05,40.731,4.0,p
-74.05,40.732,1.0,p
-74.424,40.835,1.0,p
-74.05,40.734,1.0,p
-74.05,40.726,1.0,p
-74.05,40.727,1.0,p
-74.05,40.728,1.0,p
-74.05,40.729,1.0,p
-74.271,40.823,1.0,p
-74.247,40.572,1.0,p
-73.816,40.676,1.0,p
-74.043,40.813,2.0,p
-73.816,40.673,1.0,p
-73.42,40.792,1.0,p
-73.263,40.75,1.0,p
-74.05,40.721,3.0,p
-74.05,40.722,1.0,p
-74.05,40.723,5.0,p
0.0,5.7,1.0,p
-74.05,40.716,1.0,p
-74.05,40.717,1.0,p
-74.05,40.718,1.0,p
-74.05,40.719,1.0,p
-73.658,40.778,1.0,p
-140.448,0.0,1.0,p
-73.816,40.665,1.0,p
-73.978,45.9,1.0,p
-73.821,40.683,1.0,p
-73.816,40.661,1.0,p
-73.942,40.896,2.0,p
-74.05,40.713,2.0,p
-73.965,40.707,7.0,p
-73.965,40.708,4.0,p
-73.965,40.706,1.0,p
-73.965,40.709,9.0,p
-73.821,40.687,1.0,p
-73.714,40.818,1.0,p
-73.821,40.688,1.0,p
-73.965,40.703,1.0,p
-73.965,40.704,1.0,p
-73.821,40.689,1.0,p
-73.965,40.701,3.0,p
