"long","lat","count","type"
-74.05,40.771,1.0,p
-73.788,40.464,1.0,p
-74.05,40.779,2.0,p
-74.066,40.798,3.0,p
-73.965,40.727,9.0,p
-73.965,40.725,6.0,p
-73.891,40.771,1.0,p
-73.965,40.723,1.0,p
-73.891,40.773,1.0,p
-73.965,40.724,1.0,p
-73.942,40.866,1.0,p
-74.117,40.885,1.0,p
-74.066,40.786,1.0,p
-73.891,40.764,1.0,p
-73.891,40.763,4.0,p
-73.965,40.719,1.0,p
-73.965,40.716,38.0,p
-73.663,40.778,1.0,p
-73.891,40.766,89.0,p
-73.891,40.765,22.0,p
-73.965,40.717,14.0,p
-73.891,40.768,229.0,p
-73.891,40.769,5.0,p
-73.965,40.711,361.0,p
-73.737,40.729,2.0,p
-73.965,40.714,339.0,p
-73.965,40.715,17.0,p
-73.965,40.712,502.0,p
-73.891,40.762,11.0,p
-73.965,40.713,176.0,p
-73.891,40.761,3.0,p
-73.737,40.731,1.0,p
-74.05,40.753,1.0,p
-74.089,40.618,1.0,p
-73.822,40.7,2.0,p
-74.05,40.756,1.0,p
-73.942,40.851,5.0,p
-74.05,40.757,1.0,p
-74.05,40.747,2.0,p
-74.05,40.748,1.0,p
-73.514,41.063,1.0,p
-73.965,40.749,11.0,p
-73.891,40.799,1.0,p
-74.089,40.609,1.0,p
-73.965,40.743,4.0,p
-73.663,40.783,1.0,p
-73.965,40.744,4.0,p
-73.965,40.741,2.0,p
-73.965,40.742,6.0,p
-73.965,40.747,4.0,p
-73.965,40.748,7.0,p
-73.821,40.76,3.0,p
-73.965,40.745,9.0,p
-73.737,40.735,1.0,p
-73.965,40.746,19.0,p
-73.821,40.71,31.0,p
-73.821,40.73,1.0,p
-73.942,40.849,15.0,p
-73.816,40.694,3.0,p
-73.942,40.847,19.0,p
-73.942,40.848,32.0,p
-73.942,40.845,10.0,p
-73.942,40.846,7.0,p
-73.942,40.843,23.0,p
-73.816,40.692,3.0,p
-74.038,40.911,1.0,p
-74.05,40.741,3.0,p
-73.942,40.844,20.0,p
-73.816,40.693,1.0,p
-73.942,40.841,856.0,p
-74.05,40.743,26.0,p
-73.942,40.842,471.0,p
-74.05,40.745,1.0,p
-73.965,40.738,3.0,p
-73.663,40.799,1.0,p
-73.965,40.739,2.0,p
-73.891,40.789,1.0,p
-73.965,40.732,1.0,p
-73.965,40.733,4.0,p
-73.821,40.68,3.0,p
-73.965,40.736,10.0,p
-73.965,40.737,3.0,p
-73.965,40.734,1.0,p
-73.965,40.735,3.0,p
-73.789,-3127.637,1.0,p
-73.965,40.761,4190.0,p
-73.942,40.838,78.0,p
-73.863,40.902,1.0,p
-74.085,40.76,1.0,p
-73.965,40.762,13861.0,p
-73.942,40.839,20.0,p
-73.988,40.602,4.0,p
-73.942,40.836,59.0,p
-73.942,40.837,561.0,p
-73.942,40.834,4.0,p
-73.942,40.835,3.0,p
-74.085,40.71,4.0,p
0.0,7.166,1.0,p
-73.942,40.832,28.0,p
-73.942,40.833,9.0,p
-74.173,40.542,1.0,p
-74.089,40.677,1.0,p
-73.942,40.831,25.0,p
0.0,7.168,1.0,p
-73.965,40.765,7349.0,p
-73.965,40.766,4190.0,p
-73.965,40.763,6361.0,p
-73.965,40.764,1658.0,p
-73.965,40.769,5673.0,p
-73.965,40.767,1022.0,p
-73.965,40.768,5350.0,p
-73.988,40.616,2.0,p
-74.089,40.684,1.0,p
-73.8,40.696,2.0,p
-73.988,40.617,1.0,p
-73.942,40.829,9.0,p
-73.8,40.694,1.0,p
-74.089,40.687,1.0,p
-73.942,40.827,40.0,p
0.0,-3114.294,1.0,p
-73.988,40.612,2.0,p
-73.965,40.751,59.0,p
-73.942,40.828,16.0,p
-73.988,40.613,1.0,p
-73.942,40.825,3.0,p
0.0,-3114.292,3.0,p
-73.942,40.826,6.0,p
-73.942,40.823,80.0,p
-73.942,40.824,13.0,p
-73.942,40.821,51.0,p
-73.942,40.822,181.0,p
-73.965,40.754,8357.0,p
-73.965,40.755,8576.0,p
-73.965,40.752,827.0,p
-73.965,40.753,526.0,p
-73.965,40.758,9764.0,p
-73.965,40.759,14965.0,p
-73.965,40.756,995.0,p
-73.965,40.757,1935.0,p
-74.005,40.016,1.0,p
-73.942,40.818,4.0,p
-73.942,40.819,4.0,p
-73.942,40.816,93.0,p
-73.965,40.783,46.0,p
-73.942,40.817,106.0,p
-73.965,40.784,6.0,p
-73.942,40.814,15.0,p
-73.965,40.781,1.0,p
-73.942,40.815,13.0,p
-73.965,40.782,8.0,p
-74.043,40.887,1.0,p
-73.942,40.812,180.0,p
-74.117,40.834,1.0,p
-73.942,40.813,5.0,p
-1.0,40.777,1.0,p
-73.942,40.811,204.0,p
-74.071,40.708,1.0,p
-73.821,40.606,1.0,p
-73.412,40.852,1.0,p
-73.965,40.787,3.0,p
-73.965,40.788,3.0,p
-73.965,40.785,5.0,p
-73.965,40.786,2.0,p
-74.596,40.789,1.0,p
-73.965,40.789,677.0,p
-73.942,40.809,8.0,p
-73.942,40.807,12.0,p
-73.942,40.808,10.0,p
-73.965,40.772,3005.0,p
-73.942,40.805,109.0,p
-73.965,40.773,808.0,p
-73.942,40.806,901.0,p
-73.942,40.803,20.0,p
-73.965,40.771,8563.0,p
-73.942,40.804,1.0,p
-73.942,40.801,85.0,p
-74.117,40.822,2.0,p
-73.942,40.802,36.0,p
-73.579,40.849,1.0,p
-73.965,40.776,19.0,p
-73.965,40.777,75.0,p
-73.986,400.799,1.0,p
-73.965,40.774,4563.0,p
-73.965,40.775,1837.0,p
0.0,-3114.264,1.0,p
-73.821,40.614,1.0,p
-73.965,40.778,430.0,p
-73.561,40.902,1.0,p
-73.965,40.779,15.0,p
-73.927,40.74,6.0,p
-73.816,40.644,1.0,p
-73.816,40.645,1.0,p
-72.191,41.377,1.0,p
-73.927,40.77,265.0,p
-73.927,40.78,11.0,p
-73.927,40.75,35.0,p
-81.0,40.761,1.0,p
-73.927,40.76,54.0,p
-73.951,40.266,1.0,p
-73.98,42.316,1.0,p
-73.821,40.665,4.0,p
-73.821,40.666,2.0,p
-73.978,4.067,1.0,p
-73.821,40.664,1.0,p
-73.821,40.669,3.0,p
-74.364,40.55,2.0,p
-73.927,40.63,1.0,p
-74.219,40.683,1.0,p
-73.821,40.672,3.0,p
-73.821,40.673,1.0,p
-73.937,40.901,2.0,p
-73.927,40.65,1.0,p
-74.001,40.573,1.0,p
-73.821,40.674,1.0,p
-73.821,40.675,1.0,p
-67.3,40.759,1.0,p
-0.056,40.761,1.0,p
-73.821,40.648,1.0,p
-73.951,40.7,1.0,p
-73.951,40.8,79.0,p
-73.951,40.6,4.0,p
-74.001,40.599,1.0,p
-74.001,40.598,1.0,p
-73.982,35.633,1.0,p
-74.145,40.712,3.0,p
-73.816,40.689,1.0,p
-736.567,40.753,1.0,p
-80.638,34.353,1.0,p
-74.05,40.731,3.0,p
-74.05,40.734,1.0,p
-74.05,40.725,1.0,p
-74.145,40.721,1.0,p
-74.05,40.727,1.0,p
-74.05,40.728,2.0,p
-7.629,-0.001,1.0,p
-73.984,41.02,2.0,p
-73.658,40.773,1.0,p
-9.333,40.754,1.0,p
-74.05,40.721,7.0,p
-74.05,40.723,2.0,p
-74.05,40.724,1.0,p
-74.145,40.732,1.0,p
-74.05,40.714,1.0,p
-73.937,40.942,1.0,p
-74.05,40.715,1.0,p
-74.05,40.717,2.0,p
-74.05,40.718,1.0,p
-74.05,40.719,4.0,p
-74.043,40.804,1.0,p
-74.043,40.806,1.0,p
-73.816,40.666,1.0,p
-73.821,40.684,1.0,p
-73.816,40.663,1.0,p
-73.821,40.682,1.0,p
-74.05,40.711,1.0,p
-74.05,40.712,1.0,p
-73.942,40.895,1.0,p
-73.965,40.707,5.0,p
-73.965,40.708,3.0,p
-73.965,40.706,1.0,p
-73.965,40.709,10.0,p
-73.821,40.687,2.0,p
-73.37,40.835,4.0,p
-73.965,40.703,1.0,p
-75.743,40.642,1.0,p
-73.965,40.702,2.0,p
-73.821,40.691,1.0,p
-79.123,42.604,1.0,p
-73.961,0.0,1.0,p
-73.65,40.725,1.0,p
-73.964,40.81,29.0,p
-74.498,40.349,1.0,p
0.0,6.833,1.0,p
-73.964,40.83,1.0,p
-74.071,40.691,1.0,p
-73.87,40.7,1.0,p
-73.886,40.879,1.0,p
-73.87,40.5,1.0,p
-73.8,40.708,7.0,p
-73.8,40.705,2.0,p
-73.886,40.874,1.0,p
-73.964,40.75,13.0,p
-73.886,40.873,1.0,p
-73.964,40.76,9106.0,p
-73.8,40.702,2.0,p
-73.964,40.77,6462.0,p
-73.886,40.871,2.0,p
-73.964,40.78,6.0,p
-73.886,40.878,1.0,p
-74.001,40.625,1.0,p
-73.964,40.79,17.0,p
-74.001,40.624,1.0,p
-74.219,40.716,1.0,p
