"long","lat","count","type"
-73.965,40.729,4.0,p
-74.066,40.798,4.0,p
-73.965,40.727,5.0,p
-72.567,41.29,1.0,p
-69.894,41.732,1.0,p
-73.737,40.715,2.0,p
-73.891,40.771,1.0,p
-73.965,40.726,1.0,p
-73.965,40.724,1.0,p
-73.891,40.772,1.0,p
-73.891,40.764,1.0,p
-73.891,40.763,3.0,p
-73.891,40.766,101.0,p
-73.965,40.716,63.0,p
-79.773,28.102,1.0,p
-73.965,40.717,29.0,p
-73.891,40.765,32.0,p
-73.891,40.768,186.0,p
-73.891,40.767,1.0,p
-73.891,40.769,1.0,p
-73.737,40.726,1.0,p
-73.965,40.711,451.0,p
-73.737,40.728,1.0,p
-73.737,40.729,2.0,p
-73.965,40.714,525.0,p
-73.737,40.723,1.0,p
-73.965,40.715,16.0,p
-73.965,40.712,699.0,p
-73.891,40.762,8.0,p
-73.965,40.713,352.0,p
-73.891,40.761,2.0,p
-73.737,40.731,1.0,p
-74.085,40.96,1.0,p
-74.05,40.754,1.0,p
-73.942,40.852,1.0,p
-73.942,40.853,1.0,p
-74.05,40.756,1.0,p
-73.942,40.851,1.0,p
-74.05,40.747,1.0,p
-73.965,40.749,8.0,p
-74.089,40.609,4.0,p
-73.965,40.743,4.0,p
-73.965,40.744,1.0,p
-73.965,40.741,3.0,p
-73.965,40.742,6.0,p
-73.965,40.747,6.0,p
-73.821,40.74,1.0,p
-73.965,40.748,3.0,p
-73.965,40.745,5.0,p
-73.821,40.76,1.0,p
-73.965,40.746,7.0,p
-73.821,40.77,1.0,p
-73.821,40.71,47.0,p
-73.816,40.699,1.0,p
-73.942,40.849,4.0,p
-73.942,40.847,18.0,p
-73.816,40.696,2.0,p
-73.942,40.848,25.0,p
-73.942,40.845,7.0,p
-73.942,40.846,3.0,p
-73.942,40.843,8.0,p
-73.816,40.692,2.0,p
-73.942,40.844,7.0,p
-73.942,40.841,752.0,p
-74.05,40.743,4.0,p
-73.942,40.842,357.0,p
-73.506,40.6,1.0,p
-74.05,40.745,1.0,p
-74.05,40.746,1.0,p
-74.05,40.737,1.0,p
-73.965,40.738,2.0,p
-74.05,40.738,1.0,p
-74.05,40.739,2.0,p
-73.965,40.739,1.0,p
-73.542,40.78,1.0,p
-73.965,40.732,3.0,p
-73.821,40.68,1.0,p
-73.965,40.733,1.0,p
-73.965,40.736,6.0,p
-73.821,40.63,1.0,p
-73.965,40.737,10.0,p
-73.821,40.64,1.0,p
-73.965,40.734,1.0,p
-73.737,40.747,1.0,p
-73.988,40.606,3.0,p
-73.988,40.603,4.0,p
-73.965,40.761,4064.0,p
-73.942,40.838,94.0,p
-73.965,40.762,13561.0,p
-73.942,40.839,19.0,p
-73.988,40.602,1.0,p
-73.942,40.836,81.0,p
-73.942,40.837,455.0,p
-73.942,40.834,5.0,p
-73.942,40.835,4.0,p
-73.942,40.832,28.0,p
-73.942,40.833,4.0,p
-74.085,40.73,1.0,p
-73.988,40.609,1.0,p
-73.942,40.831,34.0,p
-73.988,40.607,1.0,p
-73.965,40.765,6134.0,p
-73.965,40.766,3163.0,p
-73.965,40.763,5890.0,p
-73.965,40.764,1488.0,p
-73.965,40.769,4334.0,p
-73.965,40.767,656.0,p
-73.965,40.768,3944.0,p
-73.863,40.918,1.0,p
-73.942,40.829,6.0,p
-73.942,40.827,35.0,p
-73.965,40.751,41.0,p
-73.942,40.828,16.0,p
-73.988,40.613,1.0,p
-73.942,40.825,1.0,p
-73.942,40.826,6.0,p
-73.942,40.823,80.0,p
-73.942,40.824,7.0,p
-73.942,40.821,54.0,p
-74.173,40.552,2.0,p
-73.942,40.822,191.0,p
-73.965,40.754,7200.0,p
-73.965,40.755,7189.0,p
-73.821,40.633,1.0,p
-73.965,40.752,691.0,p
-73.965,40.753,470.0,p
-73.965,40.758,8439.0,p
-73.965,40.759,12854.0,p
-73.965,40.756,1198.0,p
-73.965,40.757,1796.0,p
-74.05,41.118,1.0,p
-73.942,40.818,9.0,p
-73.942,40.819,3.0,p
-73.965,40.783,58.0,p
-73.942,40.816,78.0,p
-73.942,40.817,115.0,p
-73.965,40.784,4.0,p
-73.942,40.814,17.0,p
-73.965,40.781,6.0,p
-73.965,40.782,4.0,p
-73.942,40.815,1.0,p
-73.942,40.812,207.0,p
-73.942,40.813,11.0,p
-74.117,40.834,1.0,p
-73.942,40.811,186.0,p
-74.043,40.883,1.0,p
-74.117,40.836,1.0,p
-73.412,40.852,1.0,p
-73.965,40.787,1.0,p
-73.965,40.788,3.0,p
-73.965,40.785,3.0,p
-73.965,40.786,11.0,p
-73.965,40.789,329.0,p
-73.663,40.741,1.0,p
-73.942,40.809,11.0,p
-73.942,40.807,19.0,p
-73.942,40.808,13.0,p
-73.965,40.772,2386.0,p
-73.942,40.805,138.0,p
-73.942,40.806,884.0,p
-73.965,40.773,747.0,p
-73.942,40.803,25.0,p
-73.965,40.771,6587.0,p
-73.942,40.801,73.0,p
-73.942,40.802,33.0,p
-74.05,40.784,1.0,p
-74.05,40.785,3.0,p
-73.965,40.776,17.0,p
-73.965,40.777,52.0,p
-73.965,40.774,4348.0,p
-73.965,40.775,2449.0,p
-73.598,40.64,1.0,p
-73.965,40.778,228.0,p
-73.663,40.752,1.0,p
-73.965,40.779,7.0,p
-73.927,40.73,1.0,p
-73.927,40.74,2.0,p
-73.691,40.584,1.0,p
-73.816,40.645,1.0,p
-73.784,40.976,1.0,p
-73.927,40.77,314.0,p
-73.927,40.78,8.0,p
-73.927,40.76,24.0,p
-73.821,40.665,2.0,p
-73.821,40.666,4.0,p
-73.821,40.663,1.0,p
-73.821,40.664,1.0,p
-73.816,40.647,2.0,p
-73.821,40.667,1.0,p
-73.821,40.668,2.0,p
-75.052,44.459,2.0,p
-73.927,40.69,5.0,p
-73.821,40.676,2.0,p
-73.821,40.679,1.0,p
-9.333,40.784,1.0,p
-73.821,40.643,1.0,p
-73.784,40.987,1.0,p
-73.951,40.7,1.0,p
-73.951,40.8,78.0,p
-74.001,40.599,2.0,p
-74.001,40.596,1.0,p
-74.145,40.712,1.0,p
-73.686,41.008,1.0,p
-73.816,40.683,1.0,p
-73.816,40.685,1.0,p
-73.816,40.681,4.0,p
-73.816,40.682,1.0,p
-74.05,40.727,1.0,p
-74.05,40.728,1.0,p
-74.043,40.817,1.0,p
-73.658,40.771,1.0,p
-73.816,40.679,1.0,p
-73.816,40.672,1.0,p
-73.816,40.674,1.0,p
-73.816,40.671,1.0,p
-74.05,40.721,4.0,p
-74.05,40.723,2.0,p
-74.05,40.715,1.0,p
-73.816,40.665,1.0,p
-73.816,40.662,2.0,p
-73.816,40.663,4.0,p
-73.816,40.664,1.0,p
-73.942,40.897,1.0,p
-74.05,40.711,1.0,p
-73.942,40.895,1.0,p
-73.965,40.707,3.0,p
-73.965,40.708,2.0,p
-73.965,40.705,1.0,p
-73.965,40.709,4.0,p
-74.05,40.709,9.0,p
-73.821,40.687,1.0,p
-73.821,40.686,2.0,p
-73.965,40.703,3.0,p
-73.965,40.701,3.0,p
-73.965,40.702,2.0,p
-73.821,40.691,3.0,p
-73.816,40.656,1.0,p
-74.948,37.2,1.0,p
-73.816,40.657,1.0,p
-73.821,40.694,1.0,p
-73.821,40.695,1.0,p
-73.821,40.692,1.0,p
-74.05,40.702,1.0,p
-73.821,40.699,1.0,p
-73.816,40.659,2.0,p
-73.964,40.81,41.0,p
-73.964,40.82,2.0,p
-74.001,40.619,1.0,p
-74.071,40.691,1.0,p
-73.742,40.736,1.0,p
-73.886,40.879,3.0,p
-73.8,40.709,1.0,p
-73.8,40.708,2.0,p
-73.886,40.874,3.0,p
-73.964,40.74,4.0,p
-73.8,40.703,4.0,p
-73.964,40.75,20.0,p
-73.886,40.873,2.0,p
-73.964,40.76,8532.0,p
-73.8,40.702,2.0,p
-73.964,40.77,5146.0,p
-73.8,40.701,1.0,p
-74.001,40.626,1.0,p
-73.886,40.871,1.0,p
-73.964,40.78,8.0,p
-73.886,40.878,1.0,p
-73.964,40.79,17.0,p
-73.742,40.732,11.0,p
-74.001,40.623,1.0,p
-73.886,40.875,2.0,p
-73.964,40.71,399.0,p
-73.964,40.72,1.0,p
-73.964,40.73,2.0,p
-74.001,40.608,1.0,p
-73.65,40.719,1.0,p
-73.742,40.729,1.0,p
-73.964,40.64,2.0,p
-73.964,40.65,2.0,p
-73.964,40.68,83.0,p
-73.964,40.69,1.0,p
-73.914,40.998,1.0,p
-73.565,40.493,1.0,p
-73.886,40.859,4.0,p
-74.001,40.642,1.0,p
-73.8,40.728,1.0,p
-73.8,40.724,3.0,p
-74.001,40.649,2.0,p
-73.8,40.722,4.0,p
-74.001,40.646,3.0,p
-74.001,40.644,1.0,p
-74.447,40.614,1.0,p
-73.742,40.709,4.0,p
-73.8,40.719,1.0,p
-73.8,40.716,1.0,p
-73.8,40.715,2.0,p
-73.8,40.713,2.0,p
-73.8,40.712,2.0,p
-73.8,40.711,1.0,p
-74.447,40.619,1.0,p
-73.886,40.866,1.0,p
-73.886,40.865,2.0,p
-87.805,41.522,1.0,p
-74.424,40.784,1.0,p
-74.001,40.653,1.0,p
-74.001,40.659,1.0,p
-74.001,40.658,1.0,p
-74.001,40.657,27.0,p
-74.001,40.656,23.0,p
-73.742,40.765,1.0,p
-73.883,40.7,1.0,p
-73.771,40.65,1.0,p
-74.094,40.591,1.0,p
-73.964,40.62,11.0,p
-74.001,40.687,94.0,p
-74.001,40.686,16.0,p
-74.001,40.685,5.0,p
-74.001,40.684,73.0,p
-74.001,40.683,83.0,p
-74.001,40.682,11.0,p
-74.001,40.681,10.0,p
-73.658,40.725,2.0,p
-73.742,40.751,1.0,p
-74.001,40.689,1.0,p
-74.001,40.688,14.0,p
-73.964,40.59,1.0,p
-73.927,40.82,2.0,p
-73.927,40.83,41.0,p
-73.927,40.81,29.0,p
-73.771,40.71,1.0,p
-73.927,40.86,5.0,p
-74.001,40.676,144.0,p
-74.001,40.675,23.0,p
-74.001,40.674,2.0,p
-74.001,40.672,1.0,p
-74.001,40.671,1.0,p
-74.001,40.679,2.0,p
-74.001,40.678,20.0,p
-74.001,40.677,93.0,p
-73.988,40.644,2.0,p
-73.88,40.646,1.0,p
-73.988,40.641,1.0,p
-73.965,40.791,1809.0,p
-73.737,40.686,7.0,p
-73.988,40.658,1.0,p
-73.988,40.659,45.0,p
-73.965,40.794,302.0,p
-73.737,40.681,1.0,p
-73.965,40.795,3112.0,p
-73.965,40.792,483.0,p
-74.071,40.612,1.0,p
-73.965,40.793,219.0,p
-74.071,40.613,1.0,p
-74.024,40.7,1.0,p
-73.88,40.658,1.0,p
-74.024,40.8,1.0,p
-73.965,40.798,28.0,p
-73.965,40.799,44.0,p
-73.965,40.796,266.0,p
-73.965,40.797,4.0,p
-73.988,40.623,1.0,p
-73.988,40.622,240.0,p
-73.765,40.673,2.0,p
-73.891,40.705,5.0,p
-74.066,40.729,1.0,p
-73.891,40.709,1.0,p
-74.066,40.731,4.0,p
-74.066,40.735,3.0,p
-74.066,40.737,5.0,p
-73.37,41.174,1.0,p
-74.066,40.718,1.0,p
-74.224,40.667,1.0,p
-73.891,40.701,1.0,p
-74.066,40.725,3.0,p
-73.765,40.681,1.0,p
-73.993,40.589,1.0,p
-73.988,40.689,262.0,p
-73.988,40.687,5.0,p
-73.988,40.688,585.0,p
-73.891,40.728,2.0,p
-69.904,44.166,1.0,p
-73.88,40.694,3.0,p
-71.782,37.826,1.0,p
-74.014,40.7,3.0,p
-73.891,40.734,1.0,p
-73.886,40.839,1.0,p
-73.988,40.685,65.0,p
-73.988,40.686,33.0,p
-73.988,40.683,3.0,p
-73.988,40.684,2.0,p
-73.988,40.681,11.0,p
-73.988,40.682,3.0,p
-73.988,40.698,113.0,p
-73.988,40.699,52.0,p
-73.993,40.573,1.0,p
-74.066,40.739,1.0,p
-73.891,40.719,1.0,p
-74.201,40.799,1.0,p
-73.891,40.722,1.0,p
-73.886,40.847,1.0,p
-74.066,40.744,1.0,p
-73.891,40.726,1.0,p
-73.356,40.756,1.0,p
-73.891,40.725,9.0,p
-73.988,40.696,635.0,p
-73.988,40.697,155.0,p
-73.988,40.694,358.0,p
-73.988,40.695,427.0,p
-73.988,40.692,1210.0,p
-73.988,40.693,2300.0,p
-73.886,40.844,1.0,p
-73.886,40.843,1.0,p
-73.988,40.691,481.0,p
-74.066,40.741,1.0,p
-73.8,40.761,1.0,p
-73.988,40.669,39.0,p
-73.988,40.667,28.0,p
-73.988,40.668,3.0,p
-73.988,40.665,21.0,p
-73.988,40.666,187.0,p
-74.071,40.668,1.0,p
-73.891,40.749,31.0,p
-75.357,41.185,1.0,p
-73.88,40.674,1.0,p
-73.891,40.753,2.0,p
-73.891,40.752,3.0,p
-73.886,40.815,2.0,p
-73.891,40.755,31.0,p
-73.891,40.754,40.0,p
-73.891,40.757,6.0,p
-74.33,41.023,3.0,p
-73.886,40.818,3.0,p
-73.891,40.759,2.0,p
-73.891,40.758,3.0,p
-74.001,40.606,1.0,p
-74.596,40.826,1.0,p
-73.988,40.661,12.0,p
-73.988,40.662,9.0,p
-73.78,40.65,1.0,p
-73.891,40.751,8.0,p
-74.001,40.601,2.0,p
-73.8,40.751,2.0,p
-73.737,40.664,1.0,p
-73.765,40.644,1.0,p
-73.988,40.678,1.0,p
-73.988,40.679,3.0,p
-73.993,40.593,2.0,p
-73.993,40.596,1.0,p
-73.988,40.677,8.0,p
-73.993,40.595,1.0,p
-73.737,40.662,1.0,p
-73.891,40.739,12.0,p
-73.88,40.683,1.0,p
-73.886,40.827,3.0,p
-73.891,40.742,2.0,p
-73.88,40.679,10.0,p
-73.886,40.826,3.0,p
-74.066,40.766,2.0,p
-73.891,40.744,3.0,p
-73.891,40.743,8.0,p
-73.886,40.824,1.0,p
-73.891,40.746,555.0,p
-73.891,40.745,7.0,p
-73.891,40.748,69.0,p
-73.891,40.747,149.0,p
-73.988,40.674,13.0,p
-74.071,40.687,2.0,p
-73.988,40.675,25.0,p
-73.988,40.672,10.0,p
-73.988,40.673,7.0,p
-73.988,40.671,62.0,p
-73.886,40.822,6.0,p
-73.737,40.669,1.0,p
-73.8,40.753,1.0,p
-73.942,40.759,2.0,p
-73.942,40.757,2.0,p
-73.942,40.758,2.0,p
-73.942,40.755,8.0,p
-73.942,40.756,5.0,p
-73.942,40.753,633.0,p
-73.942,40.754,1058.0,p
-73.942,40.751,153.0,p
-73.942,40.752,15.0,p
-73.839,40.685,1.0,p
-73.965,40.606,1.0,p
-73.839,40.686,1.0,p
-74.192,40.819,1.0,p
-73.821,40.705,1.0,p
-73.839,40.688,1.0,p
-73.839,40.689,1.0,p
-73.839,40.681,1.0,p
-73.821,40.703,3.0,p
-73.821,40.701,1.0,p
-74.209,51.075,1.0,p
-50.679,47.305,1.0,p
-73.942,40.748,6.0,p
-73.942,40.749,114.0,p
-73.942,40.746,106.0,p
-73.942,40.747,186.0,p
-73.942,40.744,1.0,p
-73.942,40.745,13.0,p
-73.942,40.742,4.0,p
-73.942,40.743,2.0,p
-73.942,40.741,3.0,p
-73.821,40.717,7.0,p
-73.839,40.695,1.0,p
-73.714,40.746,1.0,p
-73.821,40.711,13.0,p
-73.821,40.712,2.0,p
-73.942,40.739,43.0,p
-73.942,40.737,1.0,p
-73.942,40.738,3.0,p
-73.942,40.735,1.0,p
-73.942,40.736,2.0,p
-73.942,40.731,14.0,p
-73.942,40.732,3.0,p
-73.891,40.676,1.0,p
-73.965,40.628,5.0,p
-73.965,40.629,9.0,p
-73.965,40.626,4.0,p
