"long","lat","count","type"
-74.05,40.769,1.0,p
-74.066,40.798,2.0,p
-73.965,40.727,1.0,p
-73.965,40.728,1.0,p
-74.047,40.356,1.0,p
-73.965,40.725,2.0,p
-73.891,40.771,2.0,p
-74.066,40.794,3.0,p
-73.891,40.772,1.0,p
-73.965,40.724,2.0,p
-73.746,40.163,8.0,p
-74.05,40.766,1.0,p
-73.891,40.764,5.0,p
-74.066,40.786,2.0,p
-73.965,40.718,1.0,p
-73.965,40.719,2.0,p
-73.891,40.763,2.0,p
-74.05,40.759,1.0,p
-73.965,40.716,74.0,p
-73.891,40.766,93.0,p
-73.891,40.765,23.0,p
-73.965,40.717,31.0,p
-74.066,40.789,3.0,p
-73.891,40.768,168.0,p
-73.891,40.769,1.0,p
-73.965,40.711,569.0,p
-73.965,40.714,743.0,p
-73.965,40.715,22.0,p
-73.965,40.712,799.0,p
-73.891,40.762,15.0,p
-71.598,44.394,1.0,p
-73.965,40.713,370.0,p
-73.891,40.761,3.0,p
-74.05,40.753,1.0,p
-73.942,40.851,1.0,p
-74.05,40.747,1.0,p
-74.596,40.741,1.0,p
-73.965,40.749,11.0,p
-74.089,40.609,2.0,p
-73.965,40.743,2.0,p
-73.965,40.744,4.0,p
-73.965,40.741,6.0,p
-73.965,40.742,13.0,p
-73.965,40.747,13.0,p
-73.965,40.748,11.0,p
-73.821,40.76,1.0,p
-73.965,40.745,4.0,p
-73.965,40.746,13.0,p
-73.821,40.71,37.0,p
-73.942,40.849,5.0,p
-73.942,40.847,16.0,p
-73.816,40.696,2.0,p
-73.942,40.848,26.0,p
-73.942,40.845,5.0,p
-73.942,40.846,9.0,p
-73.942,40.843,20.0,p
-73.816,40.692,1.0,p
-74.05,40.741,1.0,p
-73.942,40.844,13.0,p
-73.942,40.841,856.0,p
-73.942,40.842,369.0,p
-74.05,40.746,8.0,p
-73.965,40.738,3.0,p
-73.965,40.739,3.0,p
-73.891,40.787,1.0,p
-73.965,40.732,1.0,p
-73.965,40.733,2.0,p
-73.821,40.68,1.0,p
-73.821,40.69,1.0,p
-73.965,40.731,1.0,p
-73.965,40.736,10.0,p
-73.965,40.737,1.0,p
-73.965,40.734,2.0,p
-73.965,40.735,14.0,p
-73.988,40.606,2.0,p
-73.988,40.603,1.0,p
-73.863,40.904,1.0,p
-73.965,40.761,4182.0,p
-73.942,40.838,129.0,p
-73.965,40.762,13951.0,p
-73.942,40.839,27.0,p
-73.988,40.602,1.0,p
-73.942,40.836,108.0,p
-74.089,40.671,1.0,p
-73.942,40.837,538.0,p
-73.942,40.834,1.0,p
-73.942,40.835,3.0,p
-74.085,40.71,1.0,p
-73.942,40.832,30.0,p
-73.942,40.833,12.0,p
-73.942,40.831,35.0,p
-73.988,40.608,1.0,p
-73.965,40.765,6546.0,p
-73.965,40.766,3538.0,p
-73.965,40.763,6361.0,p
-73.965,40.764,1678.0,p
-73.965,40.769,5194.0,p
-73.965,40.767,893.0,p
-73.965,40.768,5364.0,p
-73.988,40.616,1.0,p
-73.942,40.829,7.0,p
-73.863,40.915,1.0,p
-73.863,40.916,1.0,p
-73.942,40.827,29.0,p
-73.942,40.828,27.0,p
-73.965,40.751,60.0,p
-74.089,40.681,1.0,p
-73.942,40.825,1.0,p
-85.132,45.675,1.0,p
-73.942,40.826,5.0,p
-73.942,40.823,85.0,p
-73.942,40.824,7.0,p
-73.942,40.821,45.0,p
-73.942,40.822,232.0,p
-73.965,40.754,7385.0,p
-73.965,40.755,7956.0,p
-73.965,40.752,783.0,p
-73.965,40.753,588.0,p
-73.965,40.758,9519.0,p
-73.598,40.86,1.0,p
-73.965,40.759,13436.0,p
-73.965,40.756,1204.0,p
-73.965,40.757,1762.0,p
-73.942,40.818,11.0,p
-73.942,40.819,3.0,p
-74.089,40.654,1.0,p
-73.965,40.783,49.0,p
-73.942,40.816,109.0,p
-73.942,40.817,122.0,p
-73.965,40.784,5.0,p
-74.05,40.791,1.0,p
-73.942,40.814,19.0,p
-74.043,40.886,1.0,p
-73.965,40.781,3.0,p
-73.942,40.815,5.0,p
-73.965,40.782,2.0,p
-73.942,40.812,213.0,p
-73.942,40.813,3.0,p
-74.05,40.795,1.0,p
-73.942,40.811,216.0,p
-74.043,40.883,1.0,p
-74.117,40.836,1.0,p
-73.663,40.749,1.0,p
-73.965,40.787,5.0,p
-73.965,40.788,13.0,p
-73.965,40.785,3.0,p
-73.965,40.786,4.0,p
-73.965,40.789,498.0,p
-73.863,40.919,2.0,p
-73.942,40.809,13.0,p
-73.942,40.807,18.0,p
-73.942,40.808,14.0,p
-73.965,40.772,2854.0,p
-73.942,40.805,157.0,p
-73.942,40.806,1039.0,p
-73.965,40.773,792.0,p
-73.942,40.803,36.0,p
-73.965,40.771,7773.0,p
-73.942,40.804,2.0,p
-73.942,40.801,61.0,p
-73.942,40.802,36.0,p
-74.05,40.788,4.0,p
-73.965,40.776,14.0,p
-73.965,40.777,80.0,p
-73.965,40.774,4581.0,p
-73.965,40.775,2281.0,p
-73.965,40.778,311.0,p
-73.816,41.051,1.0,p
-73.965,40.779,1.0,p
-73.927,40.73,4.0,p
-73.927,40.74,5.0,p
-110.048,48.489,1.0,p
-73.927,40.71,2.0,p
-74.219,40.673,1.0,p
-74.043,40.864,1.0,p
-73.927,40.77,306.0,p
-73.927,40.78,20.0,p
-73.927,40.76,29.0,p
-73.821,40.665,5.0,p
-73.821,40.666,2.0,p
-73.821,40.663,2.0,p
-73.821,40.669,1.0,p
-73.821,40.668,1.0,p
-73.927,40.62,1.0,p
-73.816,40.635,1.0,p
-73.927,40.68,1.0,p
-73.927,40.69,1.0,p
-74.001,40.577,1.0,p
-72.809,41.49,1.0,p
-73.821,40.676,1.0,p
-73.974,40.116,1.0,p
-73.784,40.991,1.0,p
-73.584,40.856,1.0,p
-75.104,35.346,1.0,p
-74.043,40.832,1.0,p
-73.951,40.8,79.0,p
-74.001,40.599,1.0,p
-74.001,40.595,1.0,p
-74.043,40.828,1.0,p
-73.816,40.687,1.0,p
-74.05,40.731,2.0,p
-74.05,40.734,1.0,p
-74.05,40.727,1.0,p
-74.05,40.728,1.0,p
-73.821,41.021,1.0,p
-73.816,40.676,1.0,p
-74.05,40.721,2.0,p
-74.05,40.723,1.0,p
-74.05,40.724,1.0,p
-74.05,40.715,1.0,p
-74.05,40.716,1.0,p
-74.05,40.719,4.0,p
0.0,5.0,1.0,p
-73.816,40.665,5.0,p
-73.816,40.663,3.0,p
-73.821,40.682,1.0,p
-73.816,40.664,1.0,p
-73.965,40.707,9.0,p
-73.965,40.708,3.0,p
-73.965,40.705,1.0,p
-74.05,40.706,1.0,p
-73.965,40.709,13.0,p
-73.821,40.687,2.0,p
-73.821,40.685,1.0,p
-73.965,40.703,2.0,p
-73.965,40.701,1.0,p
-75.716,43.599,1.0,p
-73.965,40.702,4.0,p
-73.821,40.694,1.0,p
-73.821,40.695,1.0,p
-73.821,40.692,1.0,p
-73.821,40.693,1.0,p
-73.686,40.656,1.0,p
-73.784,41.333,1.0,p
-73.964,40.81,44.0,p
-73.964,40.82,1.0,p
-74.103,40.479,1.0,p
-74.424,40.758,1.0,p
-73.886,40.879,1.0,p
-73.8,40.708,8.0,p
-73.8,40.706,1.0,p
-73.886,40.874,1.0,p
-73.964,40.74,1.0,p
-73.964,40.75,15.0,p
-73.8,40.703,2.0,p
-74.071,40.699,1.0,p
-73.964,40.76,9297.0,p
-73.8,40.702,3.0,p
-73.964,40.77,6261.0,p
-73.886,40.871,3.0,p
-74.001,40.626,1.0,p
-73.964,40.78,11.0,p
-74.001,40.625,1.0,p
-73.964,40.79,19.0,p
-73.886,40.875,4.0,p
-73.742,40.731,1.0,p
-74.219,40.718,1.0,p
-73.964,40.71,454.0,p
-73.964,40.73,5.0,p
-74.001,40.608,1.0,p
-73.742,40.727,1.0,p
-74.094,40.517,1.0,p
-73.964,40.64,1.0,p
-73.323,40.7,1.0,p
-74.001,40.617,1.0,p
-73.964,40.65,6.0,p
-73.964,40.68,79.0,p
-74.001,40.611,1.0,p
-73.886,40.859,1.0,p
-73.886,40.858,3.0,p
