"long","lat","count","type"
-74.089,40.631,1.0,p
-74.05,40.779,1.0,p
-73.965,40.729,2.0,p
-74.066,40.798,2.0,p
-73.965,40.727,4.0,p
-73.714,40.877,1.0,p
-73.891,40.777,1.0,p
-73.965,40.728,2.0,p
-73.891,40.779,1.0,p
-73.839,40.569,1.0,p
-73.965,40.721,2.0,p
-73.891,40.771,1.0,p
-73.891,40.773,10.0,p
-73.965,40.724,6.0,p
-74.05,40.761,1.0,p
-73.891,40.764,5.0,p
-73.965,40.718,4.0,p
-73.891,40.763,6.0,p
-73.663,40.779,2.0,p
-73.965,40.716,29.0,p
-73.891,40.766,90.0,p
-73.965,40.717,11.0,p
-73.891,40.765,35.0,p
-73.891,40.768,258.0,p
-73.891,40.769,2.0,p
-73.965,40.711,537.0,p
-73.737,40.728,1.0,p
-74.066,40.781,1.0,p
-73.965,40.714,391.0,p
-73.965,40.715,22.0,p
-73.965,40.712,693.0,p
-73.891,40.762,9.0,p
-73.965,40.713,288.0,p
-73.891,40.761,3.0,p
-73.737,40.732,3.0,p
-73.942,40.854,1.0,p
-74.05,40.756,1.0,p
-73.942,40.851,2.0,p
-74.368,40.734,1.0,p
-74.05,40.748,1.0,p
-73.965,40.749,23.0,p
-74.089,40.609,2.0,p
-73.133,40.776,1.0,p
-73.965,40.743,6.0,p
-73.965,40.744,10.0,p
-73.965,40.741,1.0,p
-73.965,40.742,12.0,p
-73.965,40.747,10.0,p
-73.737,40.733,2.0,p
-73.821,40.74,1.0,p
-73.965,40.748,6.0,p
-73.965,40.745,4.0,p
-73.965,40.746,9.0,p
-73.821,40.77,1.0,p
-73.821,40.71,37.0,p
-73.942,40.849,14.0,p
-73.942,40.847,12.0,p
-73.816,40.696,1.0,p
-73.942,40.848,26.0,p
-73.942,40.845,2.0,p
-73.942,40.846,6.0,p
-73.816,40.691,1.0,p
-73.942,40.843,27.0,p
-73.816,40.692,3.0,p
-74.05,40.741,1.0,p
-73.942,40.844,17.0,p
-74.05,40.742,1.0,p
-73.942,40.841,991.0,p
-74.05,40.743,1.0,p
-73.942,40.842,519.0,p
-73.965,40.738,2.0,p
-73.965,40.739,1.0,p
-73.821,40.68,1.0,p
-73.965,40.733,4.0,p
-73.133,40.783,1.0,p
-73.965,40.731,1.0,p
