"long","lat","count","type"
-74.05,40.775,1.0,p
-72.949,43.549,1.0,p
-74.05,40.779,1.0,p
-73.965,40.729,7.0,p
-74.066,40.798,3.0,p
-81.327,40.353,1.0,p
-73.965,40.722,1.0,p
-74.066,40.792,1.0,p
-73.891,40.773,1.0,p
-73.965,40.723,1.0,p
-73.965,40.724,1.0,p
-73.891,40.772,1.0,p
-74.089,40.642,1.0,p
-73.965,40.718,2.0,p
-73.891,40.764,3.0,p
-73.891,40.763,2.0,p
-73.965,40.719,1.0,p
-73.891,40.766,106.0,p
-73.965,40.716,53.0,p
-74.066,40.788,1.0,p
-73.965,40.717,23.0,p
-73.891,40.765,30.0,p
-73.891,40.768,194.0,p
-73.891,40.767,1.0,p
-73.965,40.711,582.0,p
-73.737,40.728,1.0,p
-73.965,40.714,606.0,p
-73.965,40.715,14.0,p
-73.965,40.712,815.0,p
-73.891,40.762,4.0,p
-73.965,40.713,310.0,p
-73.891,40.761,1.0,p
-72.925,41.319,1.0,p
-74.038,40.904,1.0,p
-73.942,40.852,1.0,p
-73.942,40.851,4.0,p
-73.965,40.749,7.0,p
-73.891,40.799,1.0,p
-74.089,40.609,1.0,p
-73.965,40.743,4.0,p
-73.965,40.744,14.0,p
-73.821,40.79,1.0,p
-73.965,40.741,3.0,p
-73.965,40.742,5.0,p
-73.965,40.747,9.0,p
-73.737,40.733,1.0,p
-73.965,40.748,10.0,p
-73.965,40.745,7.0,p
-73.821,40.76,1.0,p
-73.965,40.746,24.0,p
-73.821,40.71,46.0,p
-73.942,40.849,7.0,p
-73.816,40.695,1.0,p
-73.942,40.847,20.0,p
-73.942,40.848,28.0,p
0.0,7.176,1.0,p
-73.942,40.845,8.0,p
-73.942,40.846,3.0,p
-73.942,40.843,31.0,p
-73.942,40.844,9.0,p
-73.816,40.693,1.0,p
-73.942,40.841,922.0,p
-73.942,40.842,538.0,p
-73.965,40.738,5.0,p
-73.965,40.739,1.0,p
-73.816,41.015,1.0,p
-73.821,40.67,1.0,p
-73.965,40.733,4.0,p
-73.965,40.731,3.0,p
-73.965,40.737,5.0,p
-73.988,40.603,2.0,p
-73.965,40.761,4129.0,p
-73.942,40.838,133.0,p
-73.965,40.762,14854.0,p
-73.942,40.839,21.0,p
-73.988,40.602,3.0,p
-73.942,40.836,82.0,p
-73.942,40.837,523.0,p
-73.942,40.834,7.0,p
-74.085,40.72,1.0,p
0.0,7.166,4.0,p
-73.942,40.835,1.0,p
-73.942,40.832,38.0,p
-73.942,40.833,7.0,p
-73.942,40.831,34.0,p
-73.988,40.607,1.0,p
-73.965,40.765,7141.0,p
-73.965,40.766,4032.0,p
-73.965,40.763,7298.0,p
-73.965,40.764,1742.0,p
0.0,-3114.275,1.0,p
-73.965,40.769,6139.0,p
-73.816,41.086,1.0,p
-73.965,40.767,1105.0,p
0.0,-3114.278,1.0,p
-73.965,40.768,6189.0,p
-73.942,40.829,7.0,p
-73.988,40.614,1.0,p
-73.8,40.693,1.0,p
-73.942,40.827,44.0,p
-73.942,40.828,20.0,p
-73.965,40.751,46.0,p
-73.942,40.825,5.0,p
-73.942,40.826,2.0,p
-73.942,40.823,98.0,p
-73.942,40.824,7.0,p
-74.247,40.507,2.0,p
-73.942,40.821,50.0,p
-73.942,40.822,222.0,p
-69.229,42.518,1.0,p
-73.663,40.734,1.0,p
-73.965,40.754,8146.0,p
-73.965,40.755,8655.0,p
0.0,-3114.288,1.0,p
-73.965,40.752,825.0,p
-73.965,40.753,477.0,p
-73.965,40.758,9811.0,p
-73.821,40.636,1.0,p
-73.965,40.759,14140.0,p
-73.965,40.756,1260.0,p
-73.821,40.634,1.0,p
-73.965,40.757,1846.0,p
-74.05,41.118,1.0,p
-73.942,40.818,7.0,p
-73.942,40.819,7.0,p
-73.942,40.816,92.0,p
-73.965,40.783,49.0,p
-73.942,40.817,126.0,p
-73.965,40.784,7.0,p
-73.942,40.814,23.0,p
-73.965,40.781,3.0,p
-73.942,40.815,14.0,p
-73.965,40.782,5.0,p
-73.942,40.812,247.0,p
-74.05,40.794,1.0,p
-73.863,40.921,1.0,p
-73.942,40.813,4.0,p
-73.942,40.811,253.0,p
-74.05,40.798,1.0,p
-74.05,40.799,2.0,p
-73.965,40.787,2.0,p
-73.965,40.788,13.0,p
-73.965,40.785,5.0,p
-73.965,40.786,4.0,p
-73.598,40.76,1.0,p
-73.965,40.789,716.0,p
-73.942,40.809,10.0,p
-72.646,40.822,1.0,p
-73.942,40.807,18.0,p
-73.942,40.808,19.0,p
-73.965,40.772,3371.0,p
-73.942,40.805,143.0,p
-73.942,40.806,1075.0,p
-73.965,40.773,844.0,p
-73.942,40.803,27.0,p
-73.965,40.771,8887.0,p
-73.942,40.804,1.0,p
-73.942,40.801,75.0,p
-73.942,40.802,49.0,p
-74.05,40.788,1.0,p
-73.965,40.776,29.0,p
-73.965,40.777,77.0,p
-73.965,40.774,5130.0,p
-73.965,40.775,2558.0,p
-73.965,40.778,322.0,p
-73.663,40.752,1.0,p
-73.965,40.779,6.0,p
-73.927,40.73,3.0,p
-73.927,40.74,5.0,p
-73.927,40.77,296.0,p
-73.927,40.78,9.0,p
-73.691,40.588,1.0,p
-73.927,40.76,26.0,p
-73.821,40.665,5.0,p
-73.821,40.666,5.0,p
-74.294,40.724,1.0,p
-73.821,40.667,1.0,p
-73.821,40.668,1.0,p
-73.927,40.62,1.0,p
-74.043,40.856,1.0,p
-73.821,40.672,1.0,p
-73.648,40.75,1.0,p
-73.927,40.66,1.0,p
-73.821,40.676,1.0,p
-73.821,40.677,1.0,p
-73.816,40.639,1.0,p
-74.089,40.692,2.0,p
-74.364,40.77,1.0,p
-73.784,40.985,1.0,p
-73.951,40.8,73.0,p
-73.951,40.6,1.0,p
-73.983,7.669,1.0,p
-74.001,40.598,1.0,p
-73.821,40.654,2.0,p
-73.821,40.655,1.0,p
-73.821,40.653,1.0,p
-73.658,40.783,1.0,p
-73.816,40.689,1.0,p
-74.05,40.734,1.0,p
-74.05,40.725,1.0,p
-74.05,40.726,2.0,p
-73.937,40.931,1.0,p
-74.05,40.727,4.0,p
-74.043,40.812,1.0,p
-73.816,40.672,2.0,p
-74.05,40.721,2.0,p
-74.05,40.722,3.0,p
-74.05,40.723,2.0,p
-74.05,40.718,1.0,p
-74.05,40.719,2.0,p
-84.648,30.655,1.0,p
-74.043,40.804,1.0,p
-73.816,40.665,1.0,p
-73.816,40.661,1.0,p
-73.821,40.684,2.0,p
-73.821,40.681,1.0,p
-73.821,40.682,1.0,p
-78.528,39.684,1.0,p
-73.942,40.897,1.0,p
-73.965,40.707,4.0,p
-73.965,40.708,4.0,p
-74.05,40.706,1.0,p
-73.279,37.05,1.0,p
-73.965,40.706,1.0,p
-74.05,40.707,1.0,p
-73.965,40.709,9.0,p
-73.821,40.687,2.0,p
-73.821,40.686,2.0,p
-73.965,40.704,3.0,p
-73.821,40.689,1.0,p
-73.821,40.691,1.0,p
-73.816,40.655,1.0,p
-73.821,40.692,1.0,p
-73.714,40.801,1.0,p
-73.964,40.81,52.0,p
-73.964,40.82,1.0,p
-74.001,40.619,1.0,p
-73.685,40.77,5.0,p
-74.001,40.621,1.0,p
-73.8,40.709,1.0,p
-73.8,40.708,3.0,p
-73.8,40.707,1.0,p
-73.886,40.874,3.0,p
-73.964,40.74,4.0,p
-73.964,40.75,11.0,p
-74.071,40.699,1.0,p
-73.8,40.703,1.0,p
-73.964,40.76,9621.0,p
-73.964,40.77,6939.0,p
-74.001,40.626,1.0,p
-73.886,40.871,2.0,p
-73.964,40.78,11.0,p
-74.001,40.625,2.0,p
-73.964,40.79,33.0,p
-74.001,40.624,1.0,p
-73.964,40.71,501.0,p
-74.001,40.609,1.0,p
-73.964,40.73,1.0,p
-74.019,40.595,1.0,p
-73.964,40.65,8.0,p
-74.001,40.615,1.0,p
-73.964,40.68,74.0,p
-74.001,40.613,2.0,p
-73.964,40.69,3.0,p
-74.019,40.594,1.0,p
-74.001,40.611,1.0,p
-74.019,40.593,1.0,p
-74.001,40.643,4.0,p
-73.886,40.859,2.0,p
-73.886,40.858,2.0,p
-73.886,40.857,4.0,p
-74.001,40.649,2.0,p
-74.001,40.648,1.0,p
-73.8,40.722,4.0,p
-74.001,40.647,1.0,p
-73.886,40.856,1.0,p
-73.8,40.721,1.0,p
-73.886,40.854,1.0,p
-74.001,40.644,1.0,p
-73.65,40.738,1.0,p
-73.65,40.735,1.0,p
-73.742,40.709,1.0,p
-74.001,40.639,1.0,p
-74.001,40.635,2.0,p
-73.886,40.866,2.0,p
-73.886,40.865,1.0,p
-74.094,40.577,1.0,p
-73.737,41.038,1.0,p
-73.742,40.773,1.0,p
-74.001,40.669,1.0,p
-74.001,40.667,1.0,p
-74.424,40.784,1.0,p
-74.001,40.653,3.0,p
-74.001,40.652,2.0,p
-74.001,40.659,1.0,p
-74.001,40.657,20.0,p
-74.001,40.656,17.0,p
-74.001,40.655,2.0,p
-73.771,40.66,1.0,p
-73.964,40.62,18.0,p
-74.001,40.687,81.0,p
-74.001,40.686,11.0,p
-74.001,40.685,5.0,p
-74.001,40.684,78.0,p
-74.001,40.683,94.0,p
-74.001,40.682,17.0,p
-74.001,40.681,10.0,p
-73.964,40.58,1.0,p
-73.742,40.754,1.0,p
-74.001,40.688,14.0,p
-1.225,0.0,1.0,p
-73.927,40.82,2.0,p
-73.927,40.83,43.0,p
-73.65,40.777,1.0,p
-73.927,40.81,37.0,p
-73.74,40.179,1.0,p
-73.771,40.71,1.0,p
-73.927,40.86,3.0,p
-74.001,40.676,146.0,p
-74.001,40.675,18.0,p
-74.001,40.674,1.0,p
-74.001,40.671,2.0,p
-74.038,39.975,1.0,p
-74.001,40.679,5.0,p
-74.001,40.678,19.0,p
-74.001,40.677,115.0,p
-74.33,40.636,2.0,p
-73.737,40.674,1.0,p
-73.765,40.655,2.0,p
