"long","lat","count","type"
-74.089,40.632,1.0,p
-73.965,40.729,3.0,p
-74.066,40.798,2.0,p
-73.891,40.774,3.0,p
-73.965,40.728,1.0,p
-73.965,40.721,2.0,p
-73.965,40.722,1.0,p
-73.737,40.718,1.0,p
-73.891,40.771,2.0,p
-73.965,40.725,1.0,p
-73.965,40.726,9.0,p
-73.891,40.773,1.0,p
-73.965,40.723,1.0,p
-73.891,40.772,3.0,p
-73.891,40.764,3.0,p
-73.965,40.718,1.0,p
-73.965,40.719,1.0,p
-73.891,40.763,6.0,p
-73.965,40.716,119.0,p
-73.891,40.766,68.0,p
-74.066,40.788,1.0,p
-73.965,40.717,51.0,p
-73.891,40.765,17.0,p
-73.891,40.768,202.0,p
-73.891,40.767,1.0,p
-73.965,40.711,557.0,p
-73.737,40.728,5.0,p
-73.965,40.714,606.0,p
-73.965,40.715,33.0,p
-73.965,40.712,910.0,p
-73.891,40.762,5.0,p
-73.965,40.713,357.0,p
-73.891,40.761,1.0,p
-73.942,40.852,1.0,p
-73.942,40.851,2.0,p
-74.05,40.747,1.0,p
-73.965,40.749,5.0,p
-73.891,40.799,12.0,p
-74.089,40.608,1.0,p
-73.839,40.589,1.0,p
-74.089,40.609,1.0,p
-73.965,40.743,13.0,p
-73.965,40.744,3.0,p
-73.965,40.742,3.0,p
-73.965,40.747,4.0,p
-73.965,40.748,7.0,p
-73.965,40.745,12.0,p
-73.821,40.76,2.0,p
-73.965,40.746,6.0,p
-73.821,40.77,1.0,p
-73.821,40.71,24.0,p
-73.816,40.699,1.0,p
-73.821,40.72,1.0,p
-73.821,40.73,2.0,p
-73.942,40.849,5.0,p
-73.942,40.847,15.0,p
-73.816,40.696,2.0,p
-73.942,40.848,24.0,p
-73.942,40.845,7.0,p
-73.942,40.846,3.0,p
-73.942,40.843,27.0,p
-73.816,40.692,1.0,p
-74.05,40.741,2.0,p
-73.942,40.844,15.0,p
-73.942,40.841,714.0,p
-74.05,40.743,1.0,p
-73.942,40.842,362.0,p
-74.85,31.144,1.0,p
-74.05,40.746,1.0,p
-73.965,40.738,1.0,p
-74.05,40.739,1.0,p
-73.965,40.739,7.0,p
-73.821,40.67,2.0,p
-73.965,40.732,2.0,p
-73.737,40.748,1.0,p
-73.821,40.68,1.0,p
-73.965,40.731,1.0,p
-73.965,40.736,1.0,p
-73.965,40.734,4.0,p
-73.965,40.735,9.0,p
-73.863,40.906,1.0,p
-73.988,40.606,1.0,p
-73.965,40.761,4767.0,p
-73.942,40.838,141.0,p
-73.965,40.762,14894.0,p
-73.942,40.839,25.0,p
-73.988,40.602,3.0,p
-73.942,40.836,57.0,p
-73.942,40.837,477.0,p
-73.942,40.835,2.0,p
-73.942,40.832,40.0,p
-73.942,40.833,8.0,p
-74.085,40.73,1.0,p
-73.988,40.609,1.0,p
-73.942,40.831,44.0,p
-73.988,40.607,1.0,p
-73.965,40.765,7290.0,p
-73.106,43.623,1.0,p
-73.965,40.766,4381.0,p
-73.965,40.763,6448.0,p
-73.965,40.764,1573.0,p
-73.965,40.769,5815.0,p
-73.965,40.767,1021.0,p
-73.965,40.768,5518.0,p
-73.942,40.829,12.0,p
-73.988,40.614,2.0,p
-73.879,40.9,2.0,p
-73.942,40.827,54.0,p
-73.965,40.751,41.0,p
-73.942,40.828,35.0,p
-74.043,40.897,1.0,p
-73.942,40.825,2.0,p
-73.942,40.826,7.0,p
-74.201,40.717,1.0,p
-73.942,40.823,105.0,p
-73.942,40.821,60.0,p
-73.942,40.822,213.0,p
-75.083,39.732,1.0,p
-73.965,40.754,7679.0,p
-73.965,40.755,7983.0,p
-73.965,40.752,786.0,p
-73.965,40.753,524.0,p
-73.965,40.758,9375.0,p
-73.965,40.759,14111.0,p
-73.965,40.756,1142.0,p
-73.965,40.757,1677.0,p
-74.05,41.118,1.0,p
-73.942,40.818,11.0,p
-73.942,40.819,3.0,p
-73.942,40.816,85.0,p
-73.965,40.783,34.0,p
-73.942,40.817,135.0,p
-73.965,40.784,6.0,p
-73.942,40.814,23.0,p
-73.965,40.782,7.0,p
-73.942,40.815,2.0,p
-73.942,40.812,206.0,p
-73.942,40.813,3.0,p
-73.942,40.811,227.0,p
-74.117,40.836,1.0,p
-73.361,40.739,2.0,p
-73.663,40.748,1.0,p
-73.965,40.787,1.0,p
-73.965,40.788,6.0,p
-73.965,40.785,3.0,p
-73.965,40.786,5.0,p
-73.965,40.789,634.0,p
-73.942,40.809,19.0,p
-73.942,40.807,21.0,p
-73.942,40.808,11.0,p
-74.071,40.716,1.0,p
-73.965,40.772,3203.0,p
-73.942,40.805,133.0,p
-73.942,40.806,734.0,p
-73.965,40.773,694.0,p
-73.942,40.803,27.0,p
-73.965,40.771,7948.0,p
-73.942,40.804,1.0,p
-73.942,40.801,76.0,p
-73.942,40.802,37.0,p
-74.05,40.788,1.0,p
-73.361,40.731,1.0,p
-73.965,40.776,8.0,p
-73.965,40.777,67.0,p
-73.965,40.774,4656.0,p
-73.965,40.775,2074.0,p
-73.965,40.778,220.0,p
-73.965,40.779,2.0,p
-73.737,40.703,1.0,p
-73.927,40.74,6.0,p
-73.821,40.661,1.0,p
-73.686,40.683,1.0,p
-73.927,40.79,1.0,p
-73.927,40.77,262.0,p
-73.927,40.78,6.0,p
-73.927,40.76,31.0,p
-73.821,40.665,2.0,p
-73.821,40.666,2.0,p
-73.821,40.663,2.0,p
-73.821,40.664,5.0,p
-73.927,40.63,1.0,p
-73.937,40.901,1.0,p
-73.927,40.65,1.0,p
-74.428,40.225,1.0,p
-74.001,40.573,1.0,p
-74.271,40.892,1.0,p
-74.043,40.847,1.0,p
-74.172,40.06,1.0,p
-73.951,40.7,2.0,p
-73.951,40.8,86.0,p
-74.001,40.599,1.0,p
-73.816,40.619,1.0,p
-74.145,40.712,2.0,p
-73.263,40.82,2.0,p
-73.816,40.686,1.0,p
-74.05,40.731,2.0,p
-74.05,40.733,1.0,p
-74.05,40.734,1.0,p
-74.05,40.735,1.0,p
-74.05,40.725,1.0,p
-74.05,40.726,2.0,p
-74.05,40.727,1.0,p
-74.05,40.728,1.0,p
-73.946,40.327,1.0,p
-74.271,40.842,1.0,p
-74.05,40.721,6.0,p
-74.05,40.723,1.0,p
-74.05,40.724,2.0,p
-74.05,40.715,1.0,p
-74.05,40.716,1.0,p
-74.145,40.733,1.0,p
-73.816,40.665,1.0,p
-73.816,40.661,1.0,p
-73.821,40.683,1.0,p
-73.821,40.684,1.0,p
-73.816,40.663,1.0,p
-74.05,40.713,1.0,p
-73.942,40.895,1.0,p
-73.965,40.707,11.0,p
-73.965,40.708,14.0,p
-73.965,40.705,1.0,p
-73.965,40.706,1.0,p
-73.965,40.709,9.0,p
-73.821,40.687,2.0,p
-73.821,40.688,1.0,p
-73.965,40.703,1.0,p
-73.965,40.704,6.0,p
-73.821,40.691,1.0,p
-73.821,40.692,2.0,p
-73.821,40.699,2.0,p
-73.964,40.81,41.0,p
-73.685,40.74,1.0,p
-73.742,40.736,1.0,p
-73.886,40.879,1.0,p
-73.8,40.708,2.0,p
