"long","lat","count","type"
-74.05,40.779,1.0,p
-73.965,40.729,1.0,p
-74.066,40.798,4.0,p
-73.965,40.727,2.0,p
-73.663,40.766,1.0,p
-73.965,40.721,5.0,p
-73.965,40.722,1.0,p
-73.965,40.725,2.0,p
-73.891,40.771,1.0,p
-73.891,40.773,1.0,p
-73.965,40.724,3.0,p
-73.923,40.447,1.0,p
-74.05,40.761,1.0,p
-73.942,40.861,1.0,p
-73.891,40.764,2.0,p
-73.891,40.766,85.0,p
-73.965,40.716,134.0,p
-73.891,40.765,30.0,p
-73.965,40.717,49.0,p
-73.891,40.768,184.0,p
-73.891,40.767,3.0,p
-74.452,40.638,1.0,p
-73.965,40.711,552.0,p
-63.874,34.518,1.0,p
-73.965,40.714,776.0,p
-73.965,40.715,32.0,p
-73.965,40.712,882.0,p
-73.891,40.762,6.0,p
-74.066,40.784,1.0,p
-73.965,40.713,372.0,p
-73.891,40.761,6.0,p
-72.385,38.303,1.0,p
-74.28,40.634,1.0,p
-73.909,41.462,1.0,p
-73.942,40.858,1.0,p
-73.942,40.852,1.0,p
-73.942,40.851,1.0,p
-74.05,40.748,1.0,p
-73.965,40.749,24.0,p
-74.05,40.749,1.0,p
-73.965,40.743,3.0,p
-73.965,40.744,6.0,p
-73.965,40.741,1.0,p
-73.965,40.742,5.0,p
-73.965,40.747,12.0,p
-73.965,40.748,11.0,p
-73.965,40.745,9.0,p
-73.965,40.746,9.0,p
-73.816,40.698,1.0,p
-73.821,40.71,16.0,p
-73.821,40.73,1.0,p
-73.816,40.694,1.0,p
-73.942,40.849,2.0,p
-73.942,40.847,16.0,p
-73.816,40.696,1.0,p
-73.942,40.848,19.0,p
-73.942,40.845,6.0,p
-73.942,40.846,6.0,p
-73.942,40.843,19.0,p
-73.816,40.692,1.0,p
-73.942,40.844,18.0,p
-74.05,40.742,1.0,p
-73.942,40.841,841.0,p
-73.942,40.842,420.0,p
-74.05,40.746,2.0,p
-74.05,40.737,1.0,p
-73.891,40.785,1.0,p
-73.965,40.738,1.0,p
-73.965,40.739,4.0,p
-74.05,40.739,1.0,p
-73.542,40.78,1.0,p
-73.965,40.732,1.0,p
-73.821,40.67,1.0,p
-73.965,40.733,2.0,p
-73.821,40.68,1.0,p
-73.965,40.731,4.0,p
-73.965,40.736,2.0,p
-73.965,40.737,9.0,p
-73.737,40.747,1.0,p
-73.965,40.735,2.0,p
-73.863,40.905,2.0,p
-73.965,40.761,4216.0,p
-73.942,40.838,135.0,p
-73.965,40.762,15513.0,p
-73.942,40.839,22.0,p
-73.942,40.836,62.0,p
-73.942,40.837,527.0,p
-73.942,40.834,4.0,p
-74.085,40.71,1.0,p
-73.942,40.835,1.0,p
-73.942,40.832,33.0,p
-74.085,40.73,1.0,p
-73.942,40.833,8.0,p
-73.942,40.831,29.0,p
-73.988,40.607,1.0,p
-73.965,40.765,7496.0,p
-73.965,40.766,4600.0,p
-73.965,40.763,7027.0,p
-73.965,40.764,1670.0,p
-73.965,40.769,6084.0,p
-73.965,40.767,1163.0,p
-73.965,40.768,6793.0,p
-73.942,40.829,8.0,p
-73.8,40.693,1.0,p
-73.942,40.827,35.0,p
-73.942,40.828,17.0,p
-73.965,40.751,56.0,p
-73.942,40.825,2.0,p
-73.942,40.826,7.0,p
-73.942,40.823,92.0,p
-73.942,40.824,10.0,p
-73.942,40.821,52.0,p
-74.085,40.85,1.0,p
-73.942,40.822,224.0,p
-74.117,40.842,1.0,p
-73.965,40.754,8351.0,p
-73.965,40.755,8617.0,p
-73.965,40.752,839.0,p
-73.965,40.753,485.0,p
-73.965,40.758,9614.0,p
-73.965,40.759,13861.0,p
-73.965,40.756,1218.0,p
-73.965,40.757,1728.0,p
-73.863,40.929,2.0,p
-74.05,41.118,1.0,p
-73.942,40.818,11.0,p
-74.201,40.746,1.0,p
-73.942,40.819,9.0,p
-73.942,40.816,100.0,p
-73.965,40.783,44.0,p
-73.942,40.817,125.0,p
-73.965,40.784,3.0,p
-73.965,40.781,1.0,p
-73.942,40.814,20.0,p
-73.942,40.815,7.0,p
-73.965,40.782,3.0,p
-73.942,40.812,199.0,p
-73.942,40.813,9.0,p
-74.117,40.834,1.0,p
-73.942,40.811,233.0,p
-74.117,40.836,1.0,p
-76.715,45.303,1.0,p
-73.412,40.852,1.0,p
-74.303,40.564,1.0,p
-73.965,40.787,5.0,p
-73.765,40.595,1.0,p
-73.965,40.788,5.0,p
-73.965,40.785,2.0,p
-73.965,40.786,23.0,p
-73.965,40.789,640.0,p
-73.942,40.809,14.0,p
-73.942,40.807,14.0,p
-73.942,40.808,25.0,p
-73.965,40.772,3274.0,p
-73.942,40.805,138.0,p
-73.965,40.773,820.0,p
-73.942,40.806,875.0,p
-74.071,40.714,1.0,p
-73.942,40.803,15.0,p
-73.965,40.771,8385.0,p
-73.942,40.804,1.0,p
-73.942,40.801,94.0,p
-74.117,40.822,1.0,p
-73.942,40.802,31.0,p
