"long","lat","count","type"
-74.05,40.777,6.0,p
-73.942,40.872,1.0,p
-73.965,40.729,3.0,p
-74.066,40.798,2.0,p
-74.066,40.799,2.0,p
-73.965,40.727,2.0,p
-73.965,40.722,2.0,p
-73.965,40.726,2.0,p
-73.965,40.723,1.0,p
-74.05,40.762,1.0,p
-74.05,40.764,2.0,p
-73.891,40.764,11.0,p
-73.965,40.718,2.0,p
-73.891,40.763,1.0,p
-74.066,40.787,1.0,p
-73.891,40.766,88.0,p
-73.965,40.716,96.0,p
-73.891,40.765,25.0,p
-73.965,40.717,44.0,p
-73.891,40.768,168.0,p
-73.891,40.767,16.0,p
-73.891,40.769,2.0,p
-73.965,40.711,558.0,p
-73.965,40.714,817.0,p
-73.965,40.715,31.0,p
-73.965,40.712,974.0,p
-73.891,40.762,23.0,p
-73.965,40.713,439.0,p
-73.891,40.761,3.0,p
-73.821,40.81,1.0,p
-73.686,40.626,1.0,p
-74.05,40.753,1.0,p
-73.942,40.853,1.0,p
-73.942,40.851,3.0,p
-74.05,40.747,1.0,p
-73.965,40.749,5.0,p
-74.089,40.609,1.0,p
-73.965,40.743,3.0,p
-73.965,40.744,5.0,p
-73.965,40.741,2.0,p
-73.965,40.742,1.0,p
-73.965,40.747,13.0,p
-73.821,40.74,1.0,p
-73.965,40.748,8.0,p
-73.821,40.75,1.0,p
-73.965,40.745,1.0,p
-73.965,40.746,1.0,p
-73.821,40.71,33.0,p
-73.579,40.881,2.0,p
-73.942,40.849,13.0,p
-73.942,40.847,18.0,p
-73.816,40.696,2.0,p
-73.942,40.848,20.0,p
-74.024,40.497,1.0,p
-73.942,40.845,6.0,p
-73.942,40.846,24.0,p
-73.942,40.843,22.0,p
-73.816,40.692,3.0,p
-73.942,40.844,17.0,p
-73.942,40.841,773.0,p
-74.05,40.743,1.0,p
-73.942,40.842,425.0,p
-74.05,40.744,1.0,p
-74.05,40.737,1.0,p
-73.965,40.738,14.0,p
-74.05,40.738,1.0,p
-73.965,40.739,2.0,p
-73.821,40.67,1.0,p
-64.066,42.158,1.0,p
-73.821,40.69,1.0,p
-73.965,40.731,1.0,p
